ID;NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);13.04.2011;1983,56;1983,56;1983,56;1983,56;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.04.2011;1952,53;1952,53;1952,53;1952,53;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.04.2011;1951,26;1951,26;1951,26;1951,26;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);18.04.2011;1878,61;1878,61;1878,61;1878,61;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.04.2011;1924,16;1924,16;1924,16;1924,16;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.04.2011;1954,57;1954,57;1954,57;1954,57;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);21.04.2011;1951,53;1951,53;1951,53;1951,53;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);22.04.2011;1966,17;1966,17;1966,17;1966,17;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);25.04.2011;1939,84;1939,84;1939,84;1939,84;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.04.2011;1935,83;1935,83;1935,83;1935,83;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.04.2011;1912,46;1912,46;1912,46;1912,46;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);28.04.2011;1917,61;1917,61;1917,61;1917,61;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);29.04.2011;1909,05;1909,05;1909,05;1909,05;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);03.05.2011;1853,82;1853,82;1853,82;1853,82;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);04.05.2011;1816,65;1816,65;1816,65;1816,65;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);05.05.2011;1802,82;1802,82;1802,82;1802,82;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);06.05.2011;1842,38;1842,38;1842,38;1842,38;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);10.05.2011;1839,22;1839,22;1839,22;1839,22;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);11.05.2011;1813,63;1813,63;1813,63;1813,63;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);12.05.2011;1787,33;1787,33;1787,33;1787,33;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);13.05.2011;1788,91;1788,91;1788,91;1788,91;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);16.05.2011;1778,78;1778,78;1778,78;1778,78;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);17.05.2011;1763,08;1763,08;1763,08;1763,08;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);18.05.2011;1783,22;1783,22;1783,22;1783,22;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.05.2011;1787,26;1787,26;1787,26;1787,26;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.05.2011;1757,94;1757,94;1757,94;1757,94;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);23.05.2011;1724,15;1724,15;1724,15;1724,15;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);24.05.2011;1752,3;1752,3;1752,3;1752,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);25.05.2011;1769,88;1769,88;1769,88;1769,88;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.05.2011;1760,4;1760,4;1760,4;1760,4;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.05.2011;1795,3;1795,3;1795,3;1795,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);30.05.2011;1802,9;1802,9;1802,9;1802,9;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);31.05.2011;1826,26;1826,26;1826,26;1826,26;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);01.06.2011;1809,35;1809,35;1809,35;1809,35;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);02.06.2011;1817,8;1817,8;1817,8;1817,8;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);03.06.2011;1789,99;1789,99;1789,99;1789,99;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);06.06.2011;1790,51;1790,51;1790,51;1790,51;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);07.06.2011;1822,54;1822,54;1822,54;1822,54;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);08.06.2011;1824,86;1824,86;1824,86;1824,86;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);09.06.2011;1855,01;1855,01;1855,01;1855,01;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);10.06.2011;1845,83;1845,83;1845,83;1845,83;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.06.2011;1843,31;1843,31;1843,31;1843,31;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.06.2011;1840,19;1840,19;1840,19;1840,19;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);16.06.2011;1831,73;1831,73;1831,73;1831,73;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);17.06.2011;1804,02;1804,02;1804,02;1804,02;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.06.2011;1782,45;1782,45;1782,45;1782,45;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);21.06.2011;1792,58;1792,58;1792,58;1792,58;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);22.06.2011;1797,78;1797,78;1797,78;1797,78;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);23.06.2011;1762,47;1762,47;1762,47;1762,47;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);24.06.2011;1791,05;1791,05;1791,05;1791,05;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.06.2011;1783,34;1783,34;1783,34;1783,34;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);28.06.2011;1810,25;1810,25;1810,25;1810,25;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);29.06.2011;1819,56;1819,56;1819,56;1819,56;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);30.06.2011;1826,79;1826,79;1826,79;1826,79;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);01.07.2011;1862;1862;1862;1862;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);04.07.2011;1870,79;1870,79;1870,79;1870,79;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);05.07.2011;1877,3;1877,3;1877,3;1877,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);06.07.2011;1872,28;1872,28;1872,28;1872,28;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);07.07.2011;1910,83;1910,83;1910,83;1910,83;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);08.07.2011;1893,31;1893,31;1893,31;1893,31;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);11.07.2011;1867,96;1867,96;1867,96;1867,96;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);12.07.2011;1872,84;1872,84;1872,84;1872,84;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);13.07.2011;1881,91;1881,91;1881,91;1881,91;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.07.2011;1883,34;1883,34;1883,34;1883,34;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.07.2011;1882,36;1882,36;1882,36;1882,36;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);18.07.2011;1852,76;1852,76;1852,76;1852,76;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.07.2011;1866,48;1866,48;1866,48;1866,48;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.07.2011;1868,28;1868,28;1868,28;1868,28;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);21.07.2011;1898,75;1898,75;1898,75;1898,75;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);22.07.2011;1898,57;1898,57;1898,57;1898,57;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);25.07.2011;1896,48;1896,48;1896,48;1896,48;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.07.2011;1891,18;1891,18;1891,18;1891,18;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.07.2011;1873,8;1873,8;1873,8;1873,8;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);28.07.2011;1889,28;1889,28;1889,28;1889,28;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);29.07.2011;1872,59;1872,59;1872,59;1872,59;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);01.08.2011;1894,47;1894,47;1894,47;1894,47;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);02.08.2011;1881,45;1881,45;1881,45;1881,45;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);03.08.2011;1817,88;1817,88;1817,88;1817,88;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);04.08.2011;1780,3;1780,3;1780,3;1780,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);05.08.2011;1743,3;1743,3;1743,3;1743,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);08.08.2011;1647,5;1647,5;1647,5;1647,5;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);09.08.2011;1645,33;1645,33;1645,33;1645,33;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);10.08.2011;1573,48;1573,48;1573,48;1573,48;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);11.08.2011;1581,72;1581,72;1581,72;1581,72;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);12.08.2011;1616,52;1616,52;1616,52;1616,52;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.08.2011;1660,63;1660,63;1660,63;1660,63;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);16.08.2011;1628,19;1628,19;1628,19;1628,19;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);17.08.2011;1658,98;1658,98;1658,98;1658,98;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);18.08.2011;1597,03;1597,03;1597,03;1597,03;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.08.2011;1581,54;1581,54;1581,54;1581,54;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);22.08.2011;1595,44;1595,44;1595,44;1595,44;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);23.08.2011;1595,72;1595,72;1595,72;1595,72;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);24.08.2011;1615,1;1615,1;1615,1;1615,1;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);25.08.2011;1596,56;1596,56;1596,56;1596,56;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.08.2011;1614,64;1614,64;1614,64;1614,64;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);29.08.2011;1677,74;1677,74;1677,74;1677,74;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);30.08.2011;1679,67;1679,67;1679,67;1679,67;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);31.08.2011;1721,58;1721,58;1721,58;1721,58;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);01.09.2011;1727,74;1727,74;1727,74;1727,74;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);02.09.2011;1687,99;1687,99;1687,99;1687,99;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);05.09.2011;1662,32;1662,32;1662,32;1662,32;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);06.09.2011;1669,97;1669,97;1669,97;1669,97;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);07.09.2011;1722,1;1722,1;1722,1;1722,1;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);08.09.2011;1733,17;1733,17;1733,17;1733,17;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);09.09.2011;1690,59;1690,59;1690,59;1690,59;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);12.09.2011;1662,72;1662,72;1662,72;1662,72;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);13.09.2011;1668,25;1668,25;1668,25;1668,25;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.09.2011;1675,78;1675,78;1675,78;1675,78;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.09.2011;1698,45;1698,45;1698,45;1698,45;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);16.09.2011;1683,11;1683,11;1683,11;1683,11;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.09.2011;1662,72;1662,72;1662,72;1662,72;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.09.2011;1692,52;1692,52;1692,52;1692,52;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);21.09.2011;1678,37;1678,37;1678,37;1678,37;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);22.09.2011;1547,18;1547,18;1547,18;1547,18;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);23.09.2011;1477,87;1477,87;1477,87;1477,87;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.09.2011;1499,77;1499,77;1499,77;1499,77;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.09.2011;1537,14;1537,14;1537,14;1537,14;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);28.09.2011;1534,3;1534,3;1534,3;1534,3;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);29.09.2011;1567,53;1567,53;1567,53;1567,53;0;;
